submission_title,home_team,away_team,combined,date,week,day,date,time,winner,at,loser,boxscore,ptsw,ptsl,ydsw,tow,ydsl,tol,home_team,away_team
Super Bowl 51 Pre Game Thread: New England Patriots (14-2) at Atlanta Falcons (11-5),Atlanta Falcons,New England Patriots,Atlanta FalconsNew England Patriots,2/5/17,SuperBowl,Sun,5-Feb,6:30PM,New England Patriots,N,Atlanta Falcons,boxscore,34,28,546,2,344,1,,
Super Bowl 51 Post Game Thread: New England Patriots (14-2) at Atlanta Falcons (11-5),Atlanta Falcons,New England Patriots,Atlanta FalconsNew England Patriots,2/5/17,SuperBowl,Sun,5-Feb,6:30PM,New England Patriots,N,Atlanta Falcons,boxscore,34,28,546,2,344,1,,
Game Thread: Arizona Cardinals (0-0) at Dallas Cowboys (0-0),Dallas Cowboys,Arizona Cardinals,Dallas CowboysArizona Cardinals,8/3/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Houston Texans (0-0) at Carolina Panthers (0-0),Carolina Panthers,Houston Texans,Carolina PanthersHouston Texans,8/9/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Minnesota Vikings (0-0) at Buffalo Bills (0-0),Buffalo Bills,Minnesota Vikings,Buffalo BillsMinnesota Vikings,8/10/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Jacksonville Jaguars (0-0) at New England Patriots (0-0),New England Patriots,Jacksonville Jaguars,New England PatriotsJacksonville Jaguars,8/10/17,Preseason,,,,,,,,,,,,,,,
Game Thread: New Orleans Saints (0-0) at Cleveland Browns (0-0),Cleveland Browns,New Orleans Saints,Cleveland BrownsNew Orleans Saints,8/10/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Denver Broncos (0-0) at Chicago Bears (0-0),Chicago Bears,Denver Broncos,Chicago BearsDenver Broncos,8/10/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Philadelphia Eagles (0-0) at Green Bay Packers (0-0),Green Bay Packers,Philadelphia Eagles,Green Bay PackersPhiladelphia Eagles,8/10/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Pittsburgh Steelers (0-0) at New York Giants (0-0),New York Giants,Pittsburgh Steelers,New York GiantsPittsburgh Steelers,8/11/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Tampa Bay Buccaneers (0-0) at Cincinnati Bengals (0-0),Cincinnati Bengals,Tampa Bay Buccaneers,Cincinnati BengalsTampa Bay Buccaneers,8/11/17,Preseason,,,,,,,,,,,,,,,
Game Thread: San Francisco 49ers (0-0) at Kansas City Chiefs (0-0),Kansas City Chiefs,San Francisco 49ers,Kansas City ChiefsSan Francisco 49ers,8/11/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Tennessee Titans (0-0) at New York Jets (0-0),New York Jets,Tennessee Titans,New York JetsTennessee Titans,8/12/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Dallas Cowboys (1-0) at Los Angeles Rams (0-0),Los Angeles Rams,Dallas Cowboys,Los Angeles RamsDallas Cowboys,8/12/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Oakland Raiders (0-0) at Arizona Cardinals (0-1),Arizona Cardinals,Oakland Raiders,Arizona CardinalsOakland Raiders,8/12/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Detroit Lions (0-0) at Indianapolis Colts (0-0),Indianapolis Colts,Detroit Lions,Indianapolis ColtsDetroit Lions,8/13/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Seattle Seahawks (0-0) at Los Angeles Chargers (0-0),Los Angeles Chargers,Seattle Seahawks,Los Angeles ChargersSeattle Seahawks,8/13/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Baltimore Ravens (1-0) at Miami Dolphins (1-0),Miami Dolphins,Baltimore Ravens,Miami DolphinsBaltimore Ravens,8/17/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Tampa Bay Buccaneers (0-1) at Jacksonville Jaguars (1-0),Jacksonville Jaguars,Tampa Bay Buccaneers,Jacksonville JaguarsTampa Bay Buccaneers,8/17/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Minnesota Vikings (1-0) at Seattle Seahawks (1-0),Seattle Seahawks,Minnesota Vikings,Seattle SeahawksMinnesota Vikings,8/18/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Carolina Panthers (1-0) at Tennessee Titans (0-1),Tennessee Titans,Carolina Panthers,Tennessee TitansCarolina Panthers,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Indianapolis Colts (0-1) at Dallas Cowboys (1-1),Dallas Cowboys,Indianapolis Colts,Dallas CowboysIndianapolis Colts,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Kansas City Chiefs (0-1) at Cincinnati Bengals (1-0),Cincinnati Bengals,Kansas City Chiefs,Cincinnati BengalsKansas City Chiefs,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Green Bay Packers (1-0) at Washington Redskins (0-1),Washington Redskins,Green Bay Packers,Washington RedskinsGreen Bay Packers,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: New England Patriots (0-1) at Houston Texans (0-1),Houston Texans,New England Patriots,Houston TexansNew England Patriots,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Denver Broncos (1-0) at San Francisco 49ers (1-0),San Francisco 49ers,Denver Broncos,San Francisco 49ersDenver Broncos,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Chicago Bears (0-1) at Arizona Cardinals (1-1),Arizona Cardinals,Chicago Bears,Arizona CardinalsChicago Bears,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Los Angeles Rams (1-0) at Oakland Raiders (0-1),Oakland Raiders,Los Angeles Rams,Oakland RaidersLos Angeles Rams,8/19/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Atlanta Falcons (0-1) at Pittsburgh Steelers (1-0),Pittsburgh Steelers,Atlanta Falcons,Pittsburgh SteelersAtlanta Falcons,8/20/17,Preseason,,,,,,,,,,,,,,,
Game Thread: New Orleans Saints (0-1) at Los Angeles Chargers (0-1),Los Angeles Chargers,New Orleans Saints,Los Angeles ChargersNew Orleans Saints,8/20/17,Preseason,,,,,,,,,,,,,,,
Game Thread: New York Giants (0-1) at Cleveland Browns (1-0),Cleveland Browns,New York Giants,Cleveland BrownsNew York Giants,8/21/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Miami Dolphins (1-1) at Philadelphia Eagles (1-1),Philadelphia Eagles,Miami Dolphins,Philadelphia EaglesMiami Dolphins,8/24/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Carolina Panthers (1-1) at Jacksonville Jaguars (1-1),Jacksonville Jaguars,Carolina Panthers,Jacksonville JaguarsCarolina Panthers,8/24/17,Preseason,,,,,,,,,,,,,,,
Game Thread: New England Patriots (0-2) at Detroit Lions (2-0),Detroit Lions,New England Patriots,Detroit LionsNew England Patriots,8/25/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Kansas City Chiefs (1-1) at Seattle Seahawks (2-0),Seattle Seahawks,Kansas City Chiefs,Seattle SeahawksKansas City Chiefs,8/25/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Cleveland Browns (2-0) at Tampa Bay Buccaneers (1-1),Tampa Bay Buccaneers,Cleveland Browns,Tampa Bay BuccaneersCleveland Browns,8/26/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Oakland Raiders (0-2) at Dallas Cowboys (2-1),Dallas Cowboys,Oakland Raiders,Dallas CowboysOakland Raiders,8/26/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Los Angeles Chargers (0-2) at Los Angeles Rams (2-0),Los Angeles Rams,Los Angeles Chargers,Los Angeles RamsLos Angeles Chargers,8/26/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Green Bay Packers (2-0) at Denver Broncos (2-0),Denver Broncos,Green Bay Packers,Denver BroncosGreen Bay Packers,8/26/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Chicago Bears (1-1) at Tennessee Titans (1-1),Tennessee Titans,Chicago Bears,Tennessee TitansChicago Bears,8/27/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Cincinnati Bengals (1-1) at Washington Redskins (0-2),Washington Redskins,Cincinnati Bengals,Washington RedskinsCincinnati Bengals,8/27/17,Preseason,,,,,,,,,,,,,,,
Game Thread: San Francisco 49ers (1-1) at Minnesota Vikings (1-1),Minnesota Vikings,San Francisco 49ers,Minnesota VikingsSan Francisco 49ers,8/27/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Seattle Seahawks (3-0) at Oakland Raiders (0-3),Oakland Raiders,Seattle Seahawks,Oakland RaidersSeattle Seahawks,8/31/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Los Angeles Chargers (1-2) at San Francisco 49ers (1-2),San Francisco 49ers,Los Angeles Chargers,San Francisco 49ersLos Angeles Chargers,8/31/17,Preseason,,,,,,,,,,,,,,,
Game Thread: Kansas City Chiefs (0-0) at New England Patriots (0-0),New England Patriots,Kansas City Chiefs,New England PatriotsKansas City Chiefs,9/7/17,1,Thu,7-Sep,8:30PM,Kansas City Chiefs,@,New England Patriots,boxscore,42,27,537,1,371,0,New England Patriots,Kansas City Chiefs
Game Thread: Arizona Cardinals (0-0) at Detroit Lions (0-0),Detroit Lions,Arizona Cardinals,Detroit LionsArizona Cardinals,9/10/17,1,Sun,10-Sep,1:00PM,Detroit Lions,0,Arizona Cardinals,boxscore,35,23,367,1,308,4,Detroit Lions,Arizona Cardinals
Game Thread: Atlanta Falcons (0-0) at Chicago Bears (0-0),Chicago Bears,Atlanta Falcons,Chicago BearsAtlanta Falcons,9/10/17,1,Sun,10-Sep,1:00PM,Atlanta Falcons,@,Chicago Bears,boxscore,23,17,372,0,301,0,Chicago Bears,Atlanta Falcons
Game Thread: Jacksonville Jaguars (0-0) at Houston Texans (0-0),Houston Texans,Jacksonville Jaguars,Houston TexansJacksonville Jaguars,9/10/17,1,Sun,10-Sep,1:00PM,Jacksonville Jaguars,@,Houston Texans,boxscore,29,7,280,0,203,4,Houston Texans,Jacksonville Jaguars
